,Unnamed: 0,Temperature (K),Luminosity(L/Lo),Radius(R/Ro),Absolute magnitude(Mv),Star color,BV,log_lum,log_temp,log_temp_s,log_lum_s,cluster
0,2,2889,0.000352,0.0973,16.93,red,2.2973586604951763,-3.453457336521869,3.460747541844197,0.13173988594442188,0.06171420325239346,Main sequence
1,3,3146,0.00015,0.0932,16.92,red,2.0226920107825754,-3.8239087409443187,3.497758718287268,0.15989635466105367,0.024667964599343006,Main sequence
2,4,2989,0.0087,0.34,13.12,red,2.184719097545946,-2.0604807473813813,3.4755259150392805,0.14298261969513426,0.20101599167418255,Main sequence
3,6,2650,0.00069,0.11,17.45,red,2.6019045976670827,-3.161150909262745,3.423245873936808,0.10321027298061702,0.09094571252671979,Main sequence
4,7,2800,0.0002,0.16,16.65,red,2.4045504071979216,-3.6989700043360187,3.4471580313422194,0.12140158643341303,0.037162208643626626,Main sequence
5,8,17920,0.00111,0.0106,11.66,blue,-0.33195254434473687,-2.9546770212133424,4.253338005326106,0.7347077117430794,0.11159371342774654,White dwarf
6,11,19920,0.00156,0.0142,11.34,blue,-0.3714918541339205,-2.8068754016455384,4.29928933408768,0.7696654535687957,0.12637431354546724,White dwarf
7,13,3511,0.00064,0.109,17.12,red,1.7035399069119295,-3.193820026016113,3.545430829465351,0.19616319176379005,0.08767870400311462,Main sequence
8,14,2600,0.0004,0.096,17.4,red,2.6728646659264994,-3.3979400086720375,3.4149733479708178,0.09691690051980917,0.06726610061963656,Main sequence
9,15,3340,0.0038,0.24,13.07,red,1.8440993846286502,-2.42021640338319,3.5237464668115646,0.1796666861841696,0.16504135963025274,Main sequence
10,17,3341,0.0056,0.057,16.23,red,1.8432341694974006,-2.2518119729937998,3.523876475638131,0.17976559115855562,0.1818823019075883,Main sequence
11,19,3324,0.0065,0.471,12.78,red,1.8580159027832204,-2.1870866433571443,3.5216610151120733,0.17808016661954307,0.1883550267508244,Main sequence
12,21,2871,0.00072,0.12,19.43,red,2.31848868669963,-3.1426675035687315,3.458033192496506,0.1296749288195973,0.09279410789055736,Main sequence
13,22,12010,0.00078,0.0092,12.13,blue white,-0.12493877076890694,-3.1079053973095196,4.079543007402906,0.6024921516768234,0.09627042156945731,White dwarf
